0-14,15-24,25-34,35-44,45-54,55-64,65 and above
8.0,10.8,21.1,22.1,19.4,11.9,6.7
9.4,10.0,19.4,21.6,19.4,12.3,7.9
8.5,10.0,19.5,21.6,19.4,12.8,8.2
8.6,9.8,18.8,21.3,19.4,12.9,8.2
8.9,9.6,18.8,21.3,19.5,13.2,8.7
9.6,9.3,18.3,21.7,19.6,13.7,7.8
9.4,8.7,18.0,21.5,19.6,14.3,8.5
9.5,8.1,19.0,20.7,19.5,14.5,8.8
9.6,8.0,17.9,20.9,19.7,14.7,9.2
10.0,8.3,17.4,21.1,19.9,13.8,9.5
10.5,7.9,16.6,21.2,19.7,13.7,10.5
11.0,8.0,16.5,21.0,19.8,13.9,9.9
9.5,8.7,19.1,21.0,20.0,14.0,7.7
9.2,8.5,18.9,21.0,20.1,14.0,8.3
9.4,8.5,19.2,21.2,20.0,13.8,7.9
9.5,8.5,19.2,21.1,19.9,13.8,8.1
9.4,8.5,19.1,21.1,19.9,13.8,8.2
9.3,8.4,18.6,21.0,19.8,14.2,8.7
9.2,8.3,18.6,21.3,19.8,14.1,8.8
